giants,NFC,East,1.1,MetLife
redskins,NFC,East,1.1
eagles,NFC,East,1.1
cowboys,NFC,East,1.1
jets,AFC,East,1.1,MetLife
bills,AFC,East,1.1
dolphins,AFC,East,1.1
patriots,AFC,East,1.1
jaguars,AFC,South,1.1
titans,AFC,South,1.1
texans,AFC,South,1.1
colts,AFC,South,1.1
panthers,NFC,South,1.1
falcons,NFC,South,1.1
buccaneers,NFC,South,1.1
saints,NFC,South,1.1
Broncos,AFC,West,1.1,SportsAuthority
Chiefs,AFC,West,1.1,Arrowhead
Chargers,AFC,West,1.1,SoFi
Raiders,AFC,West,1.1
Lions,NFC,North,1.1
Bears,NFC,North,1.1
Packers,NFC,North,1.1
Vikings,NFC,North,1.1
Cardinals,NFC,West,1.1
Rams,NFC,West,1.1,SoFi
Seahawks,NFC,West,1.1
49ers,NFC,West,1.1
Ravens,AFC,North,1.1
Steelers,AFC,North,1.1
Browns,AFC,North,1.1
Bengals,AFC,North,1.1